Semilla Aleatoria,Número de Individuos,Número de Generaciones,Operador de Selección,Operador de Cruce,Operador de Mutación,Operador de Reemplazo,Tiempo de Simulación
0,5,10,Torneo,1 punto,Uniforme,Generacional,12.02580663
0,5,10,Torneo,1 punto,Gaussiana,Generacional,20.12658258
0,5,10,Torneo,2 puntos,Uniforme,Generacional,13.6000002
0,5,10,Torneo,2 puntos,Gaussiana,Generacional,20.10695217
0,5,10,Torneo,1 punto,Uniforme,Elitista,14.22580666
0,5,10,Torneo,1 punto,Gaussiana,Elitista,11.80263175
0,5,10,Torneo,2 puntos,Uniforme,Elitista,20.1562503
0,5,10,Torneo,2 puntos,Gaussiana,Elitista,11.75625018
0,5,15,Torneo,1 punto,Uniforme,Generacional,15.10410981
0,5,15,Torneo,1 punto,Gaussiana,Generacional,13.95833354
0,5,15,Torneo,2 puntos,Uniforme,Generacional,10.35000015
0,5,15,Torneo,2 puntos,Gaussiana,Generacional,11.98285732
0,5,15,Torneo,1 punto,Uniforme,Elitista,20.10309308
0,5,15,Torneo,1 punto,Gaussiana,Elitista,11.76774211
0,5,15,Torneo,2 puntos,Uniforme,Elitista,13.30952401
0,5,15,Torneo,2 puntos,Gaussiana,Elitista,13.45384635
0,8,10,Torneo,1 punto,Uniforme,Generacional,20.14388519
0,8,10,Torneo,1 punto,Gaussiana,Generacional,7.40000011
0,8,10,Torneo,2 puntos,Uniforme,Generacional,11.60156267
0,8,10,Torneo,2 puntos,Gaussiana,Generacional,11.87403864
0,8,10,Torneo,1 punto,Uniforme,Elitista,20.12195152
0,8,10,Torneo,1 punto,Gaussiana,Elitista,7.40000011
0,8,10,Torneo,2 puntos,Uniforme,Elitista,9.827272874
0,8,10,Torneo,2 puntos,Gaussiana,Elitista,12.58108127
0,8,15,Torneo,1 punto,Uniforme,Generacional,12.4392859
0,8,15,Torneo,1 punto,Gaussiana,Generacional,14.86865694
0,8,15,Torneo,2 puntos,Uniforme,Generacional,12.02580663
0,8,15,Torneo,2 puntos,Gaussiana,Generacional,13.7350002
0,8,15,Torneo,1 punto,Uniforme,Elitista,12.93750019
0,8,15,Torneo,1 punto,Gaussiana,Elitista,7.40000011
0,8,15,Torneo,2 puntos,Uniforme,Elitista,20.10989041
0,8,15,Torneo,2 puntos,Gaussiana,Elitista,10.92000016
45,5,10,Torneo,1 punto,Uniforme,Generacional,13.2225002
45,5,10,Torneo,1 punto,Gaussiana,Generacional,14.37109396
45,5,10,Torneo,2 puntos,Uniforme,Generacional,13.64363657
45,5,10,Torneo,2 puntos,Gaussiana,Generacional,12.35593239
45,5,10,Torneo,1 punto,Uniforme,Elitista,7.40000011
45,5,10,Torneo,1 punto,Gaussiana,Elitista,12.98289493
45,5,10,Torneo,2 puntos,Uniforme,Elitista,12.9861113
45,5,10,Torneo,2 puntos,Gaussiana,Elitista,10.14000015
45,5,15,Torneo,1 punto,Uniforme,Generacional,20.15503906
45,5,15,Torneo,1 punto,Gaussiana,Generacional,20.18518549
45,5,15,Torneo,2 puntos,Uniforme,Generacional,13.21666686
45,5,15,Torneo,2 puntos,Gaussiana,Generacional,20.1459857
45,5,15,Torneo,1 punto,Uniforme,Elitista,13.1015627
45,5,15,Torneo,1 punto,Gaussiana,Elitista,14.00462984
45,5,15,Torneo,2 puntos,Uniforme,Elitista,13.2225002
45,5,15,Torneo,2 puntos,Gaussiana,Elitista,12.58392876
45,8,10,Torneo,1 punto,Uniforme,Generacional,10.55555571
45,8,10,Torneo,1 punto,Gaussiana,Generacional,15.13650816
45,8,10,Torneo,2 puntos,Uniforme,Generacional,10.89523826
45,8,10,Torneo,2 puntos,Gaussiana,Generacional,13.96153867
45,8,10,Torneo,1 punto,Uniforme,Elitista,14.17800021
45,8,10,Torneo,1 punto,Gaussiana,Elitista,12.71794891
45,8,10,Torneo,2 puntos,Uniforme,Elitista,13.33785734
45,8,10,Torneo,2 puntos,Gaussiana,Elitista,11.86574092
45,8,15,Torneo,1 punto,Uniforme,Generacional,20.13071925
45,8,15,Torneo,1 punto,Gaussiana,Generacional,12.69523828
45,8,15,Torneo,2 puntos,Uniforme,Generacional,11.15625017
45,8,15,Torneo,2 puntos,Gaussiana,Generacional,13.15294137
45,8,15,Torneo,1 punto,Uniforme,Elitista,20.11560724
45,8,15,Torneo,1 punto,Gaussiana,Elitista,12.45416685
45,8,15,Torneo,2 puntos,Uniforme,Elitista,20.13793133
45,8,15,Torneo,2 puntos,Gaussiana,Elitista,10.58611127
90,5,10,Torneo,1 punto,Uniforme,Generacional,20.17094047
90,5,10,Torneo,1 punto,Gaussiana,Generacional,11.34000017
90,5,10,Torneo,2 puntos,Uniforme,Generacional,13.82653082
90,5,10,Torneo,2 puntos,Gaussiana,Generacional,7.40000011
90,5,10,Torneo,1 punto,Uniforme,Elitista,14.92641532
90,5,10,Torneo,1 punto,Gaussiana,Elitista,14.40267879
90,5,10,Torneo,2 puntos,Uniforme,Elitista,12.23055574
90,5,10,Torneo,2 puntos,Gaussiana,Elitista,11.62500017
90,5,15,Torneo,1 punto,Uniforme,Generacional,20.13793133
90,5,15,Torneo,1 punto,Gaussiana,Generacional,12.02976208
90,5,15,Torneo,2 puntos,Uniforme,Generacional,20.13071925
90,5,15,Torneo,2 puntos,Gaussiana,Generacional,12.68837228
90,5,15,Torneo,1 punto,Uniforme,Elitista,13.90277798
90,5,15,Torneo,1 punto,Gaussiana,Elitista,14.24137952
90,5,15,Torneo,2 puntos,Uniforme,Elitista,11.24444461
90,5,15,Torneo,2 puntos,Gaussiana,Elitista,7.500000112
90,8,10,Torneo,1 punto,Uniforme,Generacional,20.14285744
90,8,10,Torneo,1 punto,Gaussiana,Generacional,11.19791683
90,8,10,Torneo,2 puntos,Uniforme,Generacional,14.43300022
90,8,10,Torneo,2 puntos,Gaussiana,Generacional,14.0509093
90,8,10,Torneo,1 punto,Uniforme,Elitista,20.15267206
90,8,10,Torneo,1 punto,Gaussiana,Elitista,14.37460339
90,8,10,Torneo,2 puntos,Uniforme,Elitista,20.14925403
90,8,10,Torneo,2 puntos,Gaussiana,Elitista,10.82812516
90,8,15,Torneo,1 punto,Uniforme,Generacional,12.12903244
90,8,15,Torneo,1 punto,Gaussiana,Generacional,14.19444466
90,8,15,Torneo,2 puntos,Uniforme,Generacional,14.20895544
90,8,15,Torneo,2 puntos,Gaussiana,Generacional,10.56000016
90,8,15,Torneo,1 punto,Uniforme,Elitista,20.12820543
90,8,15,Torneo,1 punto,Gaussiana,Elitista,10.66000016
90,8,15,Torneo,2 puntos,Uniforme,Elitista,13.15294137
90,8,15,Torneo,2 puntos,Gaussiana,Elitista,11.04444461
